time,om_temp,om_hum,om_press,om_wind,om_rain,om_solar,om_wind_dir,month,hour,ai_temp,source
2026-01-10 00:00:00,6.8,97,988.9,3.3,0.0,0.0,311,1,0,6.8,Raw
2026-01-10 01:00:00,6.5,97,988.5,3.1,0.0,0.0,315,1,1,6.5,Raw
2026-01-10 02:00:00,6.2,97,988.6,2.8,0.0,0.0,320,1,2,6.2,Raw
2026-01-10 03:00:00,5.9,98,988.8,2.9,0.0,0.0,330,1,3,5.9,Raw
2026-01-10 04:00:00,5.6,98,988.8,3.3,0.0,0.0,354,1,4,5.6,Raw
2026-01-10 05:00:00,5.8,99,988.3,3.3,0.0,0.0,354,1,5,5.8,Raw
2026-01-10 06:00:00,5.6,99,988.4,2.9,0.0,0.0,353,1,6,5.6,Raw
2026-01-10 07:00:00,5.5,98,988.1,2.7,0.0,0.0,337,1,7,5.5,Raw
2026-01-10 08:00:00,6.3,97,988.0,2.3,0.0,73.0,321,1,8,6.3,Raw
2026-01-10 09:00:00,8.7,92,988.7,2.9,0.0,250.0,300,1,9,8.7,Raw
2026-01-10 10:00:00,11.5,85,989.8,4.2,0.0,425.0,290,1,10,11.5,Raw
2026-01-10 11:00:00,12.4,84,990.2,6.6,0.0,554.0,279,1,11,12.4,Raw
2026-01-10 12:00:00,14.1,77,989.0,8.5,0.0,607.0,282,1,12,14.1,Raw
2026-01-10 13:00:00,15.0,75,987.9,8.4,0.0,612.0,280,1,13,15.0,Raw
2026-01-10 14:00:00,15.5,66,987.4,8.5,0.0,556.0,282,1,14,15.5,Raw
2026-01-10 15:00:00,15.4,68,987.5,9.1,0.0,429.0,279,1,15,15.4,Raw
2026-01-10 16:00:00,14.6,71,987.4,8.8,0.0,257.0,279,1,16,14.6,Raw
2026-01-10 17:00:00,13.0,78,987.7,5.9,0.0,75.0,284,1,17,13.0,Raw
2026-01-10 18:00:00,11.5,85,988.1,4.5,0.0,0.0,299,1,18,11.5,Raw
2026-01-10 19:00:00,10.5,89,988.5,4.0,0.0,0.0,297,1,19,10.5,Raw
2026-01-10 20:00:00,9.9,92,988.7,3.9,0.0,0.0,292,1,20,9.9,Raw
2026-01-10 21:00:00,9.3,93,989.2,3.4,0.0,0.0,288,1,21,9.3,Raw
2026-01-10 22:00:00,8.8,94,989.8,3.2,0.0,0.0,297,1,22,8.8,Raw
2026-01-10 23:00:00,8.3,95,990.3,3.4,0.0,0.0,288,1,23,8.3,Raw
2026-01-11 00:00:00,7.8,97,990.5,3.7,0.0,0.0,299,1,0,7.8,Raw
2026-01-11 01:00:00,7.5,97,990.9,3.6,0.0,0.0,307,1,1,7.5,Raw
2026-01-11 02:00:00,7.2,98,990.9,3.8,0.0,0.0,311,1,2,7.2,Raw
2026-01-11 03:00:00,6.9,98,990.4,3.6,0.0,0.0,315,1,3,6.9,Raw
2026-01-11 04:00:00,6.6,98,989.9,3.8,0.0,0.0,311,1,4,6.6,Raw
