time,temperature_2m,relative_humidity_2m,surface_pressure
2025-06-20 05:00:00,31.2,67,971.0
2025-06-20 06:00:00,32.0,66,970.6
2025-06-20 07:00:00,33.8,59,970.0
2025-06-20 08:00:00,34.8,55,969.2
2025-06-20 09:00:00,35.2,54,968.9
2025-06-20 10:00:00,32.5,64,968.5
2025-06-20 11:00:00,32.2,66,968.1
2025-06-20 12:00:00,32.3,65,968.2
2025-06-20 13:00:00,30.4,76,968.7
2025-06-20 14:00:00,29.7,81,969.4
2025-06-20 15:00:00,29.6,78,969.7
2025-06-20 16:00:00,29.6,75,970.6
2025-06-20 17:00:00,29.2,74,970.9
2025-06-20 18:00:00,29.1,75,971.1
2025-06-20 19:00:00,29.0,76,971.1
2025-06-20 20:00:00,29.0,75,970.6
2025-06-20 21:00:00,28.4,78,970.5
2025-06-20 22:00:00,28.1,80,970.3
2025-06-20 23:00:00,27.8,82,970.8
2025-06-21 00:00:00,27.6,83,971.0
2025-06-21 01:00:00,28.5,81,971.3
2025-06-21 02:00:00,29.4,76,971.8
2025-06-21 03:00:00,30.0,71,972.5
2025-06-21 04:00:00,31.0,67,972.1
2025-06-21 05:00:00,32.3,62,971.8
2025-06-21 06:00:00,32.9,61,971.5
2025-06-21 07:00:00,33.4,59,970.9
2025-06-21 08:00:00,34.4,57,970.2
2025-06-21 09:00:00,35.0,55,969.1
2025-06-21 10:00:00,34.9,57,968.4
2025-06-21 11:00:00,34.7,57,967.9
2025-06-21 12:00:00,33.2,63,967.8
2025-06-21 13:00:00,32.8,65,968.5
2025-06-21 14:00:00,30.6,79,968.5
2025-06-21 15:00:00,29.9,84,969.0
2025-06-21 16:00:00,30.0,75,969.8
2025-06-21 17:00:00,30.0,72,970.3
2025-06-21 18:00:00,29.6,72,970.2
2025-06-21 19:00:00,29.4,73,969.9
2025-06-21 20:00:00,29.1,74,969.2
2025-06-21 21:00:00,28.8,75,968.7
2025-06-21 22:00:00,28.5,76,968.9
2025-06-21 23:00:00,28.1,77,969.3
2025-06-22 00:00:00,26.8,84,970.1
2025-06-22 01:00:00,28.0,90,970.0
2025-06-22 02:00:00,28.1,87,970.8
2025-06-22 03:00:00,29.5,80,971.2
2025-06-22 04:00:00,30.4,74,971.8
2025-06-22 05:00:00,31.0,71,971.5
2025-06-22 06:00:00,32.2,66,971.3
2025-06-22 07:00:00,31.8,68,970.9
2025-06-22 08:00:00,31.1,71,969.6
2025-06-22 09:00:00,32.7,67,969.1
2025-06-22 10:00:00,32.9,67,968.1
2025-06-22 11:00:00,33.2,65,967.3
2025-06-22 12:00:00,32.9,65,966.6
2025-06-22 13:00:00,31.0,73,967.2
2025-06-22 14:00:00,29.9,76,967.2
2025-06-22 15:00:00,29.0,82,967.6
2025-06-22 16:00:00,28.5,84,968.3
2025-06-22 17:00:00,28.1,87,968.6
2025-06-22 18:00:00,27.6,90,969.2
2025-06-22 19:00:00,27.5,90,969.0
2025-06-22 20:00:00,27.5,89,968.7
2025-06-22 21:00:00,27.4,88,968.6
2025-06-22 22:00:00,27.2,88,968.5
2025-06-22 23:00:00,27.0,90,968.5
2025-06-23 00:00:00,26.6,90,968.3
2025-06-23 01:00:00,25.6,97,968.5
2025-06-23 02:00:00,26.3,91,968.6
2025-06-23 03:00:00,28.1,83,968.9
2025-06-23 04:00:00,30.0,76,969.0
2025-06-23 05:00:00,31.4,71,969.1
2025-06-23 06:00:00,30.9,70,969.4
2025-06-23 07:00:00,30.5,73,968.5
2025-06-23 08:00:00,32.6,65,967.4
2025-06-23 09:00:00,33.0,64,966.3
2025-06-23 10:00:00,32.8,66,965.1
2025-06-23 11:00:00,33.0,66,964.2
2025-06-23 12:00:00,32.8,66,963.6
2025-06-23 13:00:00,31.4,76,965.2
2025-06-23 14:00:00,30.4,77,965.6
2025-06-23 15:00:00,29.8,77,965.9
2025-06-23 16:00:00,29.1,80,966.8
2025-06-23 17:00:00,28.5,82,966.9
2025-06-23 18:00:00,28.0,81,967.2
2025-06-23 19:00:00,26.3,91,968.2
2025-06-23 20:00:00,25.7,93,967.4
2025-06-23 21:00:00,26.1,91,966.5
2025-06-23 22:00:00,26.0,94,966.4
2025-06-23 23:00:00,26.0,91,966.7
2025-06-24 00:00:00,25.9,93,967.3
2025-06-24 01:00:00,27.3,93,967.0
2025-06-24 02:00:00,28.2,89,967.5
2025-06-24 03:00:00,29.6,82,967.8
2025-06-24 04:00:00,31.0,73,968.2
2025-06-24 05:00:00,31.9,69,968.0
2025-06-24 06:00:00,32.8,67,967.7
2025-06-24 07:00:00,33.5,65,967.2
2025-06-24 08:00:00,33.8,63,966.6
2025-06-24 09:00:00,34.0,64,965.8
2025-06-24 10:00:00,34.0,62,965.3
2025-06-24 11:00:00,34.0,62,964.8
2025-06-24 12:00:00,33.7,62,964.3
2025-06-24 13:00:00,31.2,75,965.1
2025-06-24 14:00:00,30.1,79,965.5
